0.01,100000,492,1,493,,,0.01,100000,493,24,7710
0.01,200000,4389,0,4389,,,0.01,200000,4389,38,61389
0.01,300000,15365,0,15365,,,0.01,300000,15365,57,242190
0.01,400000,37467,0,37467,,,0.01,400000,37467,87,650792
0.01,500000,90988,1,90989,,,0.01,500000,90989,136,1064528
0.01,1000000,396983,2,396985,,,0.01,1000000,396985,211,3802408
0.001,100000,56154,0,56154,,,0.001,100000,56154,23,34037
0.001,200000,123221,0,123221,,,0.001,200000,123221,49,74625
0.001,300000,200009,0,200009,,,0.001,300000,200009,93,139374
0.001,400000,288411,0,288411,,,0.001,400000,288411,90,255618
0.001,500000,543683,0,543683,,,0.001,500000,543683,117,262547
0.001,1000000,1308712,1,1308713,,,0.001,1000000,1308713,268,534692
1.00E-04,100000,145345,0,145345,,,1.00E-04,100000,145345,27,4594
1.00E-04,200000,300779,0,300779,,,1.00E-04,200000,300779,53,11254
1.00E-04,300000,474256,0,474256,,,1.00E-04,300000,474256,81,19010
1.00E-04,400000,672490,0,672490,,,1.00E-04,400000,672490,108,22924
1.00E-04,500000,915961,0,915961,,,1.00E-04,500000,915961,169,36497
1.00E-04,1000000,2049330,0,2049330,,,1.00E-04,1000000,2049330,278,81669
0.01,100000,24,0,24,,,,,,,
0.01,200000,38,0,38,,,,,,,
0.01,300000,57,0,57,,,,,,,
0.01,400000,87,0,87,,,,,,,
0.01,500000,136,0,136,,,,,,,
0.01,1000000,210,1,211,,,,,,,
0.001,100000,23,0,23,,,,,,,
0.001,200000,49,0,49,,,,,,,
0.001,300000,93,0,93,,,,,,,
0.001,400000,90,0,90,,,,,,,
0.001,500000,117,0,117,,,,,,,
0.001,1000000,268,0,268,,,,,,,
1.00E-04,100000,27,0,27,,,,,,,
1.00E-04,200000,53,0,53,,,,,,,
1.00E-04,300000,81,0,81,,,,,,,
1.00E-04,400000,108,0,108,,,,,,,
1.00E-04,500000,169,0,169,,,,,,,
1.00E-04,1000000,278,0,278,,,,,,,
0.01,100000,69,7641,7710,,,,,,,
0.01,200000,88,61301,61389,,,,,,,
0.01,300000,98,242092,242190,,,,,,,
0.01,400000,221,650571,650792,,,,,,,
0.01,500000,1036,1063492,1064528,,,,,,,
0.01,1000000,1395,3801013,3802408,,,,,,,
0.001,100000,38,33999,34037,,,,,,,
0.001,200000,82,74543,74625,,,,,,,
0.001,300000,127,139247,139374,,,,,,,
0.001,400000,405,255213,255618,,,,,,,
0.001,500000,179,262368,262547,,,,,,,
0.001,1000000,223,534469,534692,,,,,,,
1.00E-04,100000,24,4570,4594,,,,,,,
1.00E-04,200000,51,11203,11254,,,,,,,
1.00E-04,300000,78,18932,19010,,,,,,,
1.00E-04,400000,103,22821,22924,,,,,,,
1.00E-04,500000,424,36073,36497,,,,,,,
1.00E-04,1000000,215,81454,81669,,,,,,,
